metric,key,value
class_count,helmet,236
class_count,no_helmet,79
session_image_count,s04_stills_helmet,46
session_image_count,s05_stills_no_helmet,42
session_image_count,video_1,32
session_image_count,video_2,7
session_image_count,video_3,8
session_instance_count,s04_stills_helmet,49
session_instance_count,s05_stills_no_helmet,44
session_instance_count,video_1,207
session_instance_count,video_2,7
session_instance_count,video_3,8
box_size_distribution,<32px,23
box_size_distribution,32-96px,217
box_size_distribution,>96px,75
